Keyword Stats 2026-03-31 at 02_43_24
2025年3月1日 - 2026年2月28日
Keyword	Currency	Avg. monthly searches	三个月变化	年同比变化	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
eus fna needle	USD	50	900%	0%	低	1																			
fna biopsy needle	USD	5000	0%	0%	低	1	0.64	5.90																	
fna test	USD	5000	0%	0%	低	3	1.38	4.52																	
fine needle aspiration	USD	500000	0%	0%	低	1	0.01	0.04																	
fine needle aspiration near me	USD	500	0%	0%	低	3	0.23	1.96																	
fine needle	USD	5000	900%	0%	中	37	0.24	1.22																	
blood in fine needle aspiration	USD	50	-100%	-100%	未知																				
cost of fine needle aspiration	USD	500	0%	0%	低	1																			
ct fna	USD	50	0%	0%	低	0																			
ct guided fna	USD	50	0%	0%	低	0																			
endoscopic fine needle aspiration	USD	50	0%	0%	低	3																			
eus and fna	USD	5000	0%	0%	低	0	0.03	1.72																	
eus b fna	USD	50	0%	0%	低	0																			
eus fine needle aspiration	USD	5000	0%	0%	低	0	0.03	1.72																	
eus fna	USD	5000	0%	0%	低	0	0.03	1.72																	
eus fna pancreatic mass	USD	50	0%	0%	低	0																			
eus guided fna	USD	500	0%	0%	低	0																			
eus guided fnb	USD	50	0%	0%	低	0																			
eus with fna procedure	USD	50	0%	0%	低	1																			
fine needle aspirate dog	USD	500	0%	900%	低	4	1.57	7.94																	
fine needle aspiration biopsy dog	USD	50	0%	0%	低	0																			
fine needle aspiration cytology	USD	5000000	0%	0%	低	23	0.01	0.01																	
fine needle aspiration cytology fnac	USD	500	0%	0%	低	1																			
fine needle aspiration cytology technique	USD	500	0%	0%	低	0																			
fine needle aspiration cytology test	USD	50000	0%	0%	低	1	0.25	1.25																	
fine needle aspiration lung	USD	500	0%	0%	低	0																			
fine needle aspiration lymph node neck	USD	500	0%	0%	低	0																			
fine needle aspiration neck	USD	500	0%	0%	低	2																			
fine needle aspiration needle	USD	5000	0%	0%	低	1																			
fine needle aspiration of pancreas	USD	500	0%	-90%	低	0																			
fine needle aspiration procedure	USD	5000	0%	0%	低	0																			
fine needle aspiration technique	USD	50	0%	-90%	低	0																			
fine needle biopsies	USD	5000	0%	0%	低	1	0.03	2.90																	
fine needle breast aspiration	USD	50	0%	0%	低	0																			
fine needle test	USD	50	0%	0%	低	0																			
fna blood test	USD	500	0%	0%	低	2	1.23	9.75																	
fna exam	USD	50	0%	0%	低	2																			
fna lab test	USD	500	0%	0%	低	2	1.23	9.75																	
fna lymph node neck	USD	500	0%	0%	低	0																			
fna medical	USD	500	0%	0%	低	0																			
fna medical test	USD	50	0%	0%	低	0																			
fna needle	USD	5000	0%	0%	低	1																			
fna procedure	USD	5000	0%	0%	低	0																			
fna technique	USD	50	0%	-90%	低	0																			
fna test cost	USD	50	0%	0%	低	1																			
fna test results	USD	50	0%	0%	低	0																			
fna treatment	USD	50	0%	0%	低	0																			
fnab be	USD	50	0%	0%	中	54																			
fnac fine needle aspiration cytology	USD	500	0%	0%	低	0																			
fnb fine needle biopsy	USD	50	0%	0%	低	2																			
guided fna	USD	50	0%	-90%	低	1																			
lung fna	USD	500	0%	0%	低	0																			
neck fna	USD	500	0%	0%	低	2																			
private fine needle aspiration	USD	50	0%	0%	低	14																			
transbronchial fna	USD	50	0%	0%	低	0																			
us fna	USD	500	0%	0%	低	0																			
us guided fna	USD	500	0%	0%	低	0																			
